,by,descendants,id,kids,score,time,title,type,url,text
19,isaacfrond,7.0,38567424,"[38567781, 38567774, 38567878, 38567481, 38567839]",23,1702031612,Tesla loses legal action in Sweden as dispute with Nordic unions escalates,story,https://www.theguardian.com/technology/2023/dec/07/tesla-loses-legal-action-sweden-nordic-unions-licence-plates-collective-bargaining,
20,dimmke,80.0,38559607,"[38560671, 38560045, 38559761, 38567854, 38561926, 38560117, 38564811, 38562032, 38562639, 38564052, 38567282, 38560677, 38560066, 38561945, 38560406, 38561844, 38566133, 38560479, 38559867, 38561228]",418,1701972296,Making noisy SVGs,story,https://daniel.do/article/making-noisy-svgs/,
21,todsacerdoti,10.0,38556162,"[38567391, 38566636, 38565957, 38566455, 38565883, 38565529, 38566444, 38566012]",38,1701956624,The Shunting-Yard Algorithm (2011),story,https://www.reedbeta.com/blog/the-shunting-yard-algorithm/,
22,ingen0s,6.0,38555294,"[38567352, 38565147, 38555295, 38565426]",33,1701948855,Exploring Quantum Computing with JavaScript: A Beginner's Guide,story,https://medium.com/@yourfuse/exploring-quantum-computing-with-javascript-a-beginners-guide-d29a4af15ec7,
23,teleforce,3.0,38555417,"[38565704, 38565922]",20,1701950099,Radio Architecture Matters: A Review of RF Sampling vs. Zero-IF,story,https://www.analog.com/en/technical-articles/radio-architecture-matters.html,
24,curiousObject,0.0,38556169,,11,1701956670,The Right Chemistry: Reflections on the manufacture of mirrors (2022),story,https://montrealgazette.com/opinion/columnists/the-right-chemistry-reflections-on-the-manufacture-of-mirrors,
25,thunderbong,56.0,38537545,"[38561220, 38563340, 38561491, 38561594, 38561124, 38563365, 38562530, 38561333, 38565657, 38562367, 38562912, 38562287, 38562266, 38565934, 38564432, 38561184]",254,1701813683,Jets: Ruby Serverless Framework,story,https://docs.rubyonjets.com/,
26,tomhazledine,15.0,38554994,"[38567288, 38567644, 38567661, 38566537, 38563881]",55,1701945826,Show HN: My related-posts finder script (with LLM and GPT4 enhancement),story,https://tomhazledine.com/llm-related-posts/,"I&#x27;ve open-sourced the script I use to find related blog posts (and to describe <i>why</i> they&#x27;re similar).<p>Works on any set of markdown articles, so should fit into any SSG workflow.<p>Uses embeddings to calculate the similarities, and GPT4 to add descriptive text."
27,sohkamyung,74.0,38543133,"[38562518, 38564173, 38543400, 38562696, 38564099, 38566026, 38563064, 38565035, 38563191, 38564332, 38565399, 38564562, 38563066]",234,1701866842,Conway's Game of Life is omniperiodic,story,https://arxiv.org/abs/2312.02799,
28,dmotz,1563.0,38544729,"[38547486, 38547323, 38545663, 38545430, 38545113, 38545203, 38546464, 38546562, 38548351, 38545012, 38545010, 38545044, 38546054, 38546046, 38546447, 38544877, 38544957, 38552471, 38545245, 38545654, 38546159, 38546006, 38545429, 38545220, 38552399, 38545081, 38545068, 38546384, 38548739, 38545018, 38544821, 38545050, 38551570, 38546963, 38544997, 38545326, 38545551, 38545848, 38546344, 38545073, 38545375, 38545810, 38547434, 38546275, 38545669, 38566998, 38545007, 38547079, 38547414, 38544994, 38547387, 38546388, 38546477, 38545103, 38551526, 38545982, 38545057, 38544940, 38555702, 38546463, 38557554, 38547392, 38547791, 38551124, 38544941, 38553019, 38549425, 38549166, 38547467, 38546036, 38544863, 38546113, 38546241, 38549953, 38565201, 38558903, 38548294, 38553828, 38551886, 38547962, 38551880, 38545516, 38546590, 38563846, 38549442, 38549749, 38550681, 38545168, 38560497, 38562943, 38545030, 38546566, 38546559, 38547365, 38547425, 38545095, 38548427, 38546256, 38546095, 38547001, 38546356, 38545609, 38544969, 38547054, 38551539, 38550081, 38544951, 38552494, 38551532, 38547204, 38554111, 38548056, 38551947, 38548052, 38548406, 38552030, 38547362, 38547028, 38545971, 38553391, 38544896, 38548608, 38552978, 38549601, 38547019, 38552338, 38549712, 38545069, 38545955, 38547222, 38547661, 38550609, 38547662, 38550713, 38548411, 38549170, 38548272, 38545572, 38545161, 38544939, 38551110, 38544929, 38545466, 38545389, 38546226, 38550927, 38550710, 38555320, 38547521, 38547145, 38547301, 38548889, 38552557, 38545898, 38551117, 38546428, 38558034, 38546405, 38547443, 38549288, 38545179, 38545233, 38546928, 38545254, 38545089, 38547217, 38552180, 38546719, 38545172, 38548386, 38545330, 38545750, 38547052, 38552394, 38545494, 38547672, 38547415, 38547173, 38547494, 38549870, 38548177, 38548757, 38551046, 38548621, 38549473, 38545082, 38550367, 38545311, 38547800, 38547773, 38544989, 38548641, 38551508, 38546064, 38545127, 38544943, 38549533, 38546138, 38545129, 38555793, 38545009, 38552170, 38551387, 38549028, 38545021, 38552633, 38553821, 38553366, 38552840, 38551814, 38556537, 38551697, 38551408, 38551079, 38550986, 38550613, 38549689, 38548884, 38548482, 38547678, 38547185, 38547109, 38547056, 38547013, 38546379, 38546084, 38545991, 38545889, 38545713, 38550158, 38545231, 38548693, 38545604, 38546937, 38547029, 38545403, 38546631, 38553105, 38544901, 38545325, 38545123, 38545159, 38547519, 38545932, 38558117, 38552726, 38548796, 38548670, 38545465, 38547044, 38556149, 38544831, 38547464, 38547465, 38545001, 38546775, 38545801, 38548065, 38551474, 38545058, 38563392]",2029,1701875027,Gemini AI,story,https://deepmind.google/technologies/gemini/,
